rule,present_in_count,present_in,avg_confidence,avg_lift,avg_support,CASE_confidence,CASE_lift,CASE_support,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,CEAP_confidence,CEAP_lift,CEAP_support,EmoWorker_confidence,EmoWorker_lift,EmoWorker_support,K-emoCon (ext)_confidence,K-emoCon (ext)_lift,K-emoCon (ext)_support,EMBOA_confidence,EMBOA_lift,EMBOA_support
hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low equals hrv_sdnn_low AND hrv_rmssd_low equals hrv_sdnn_low => hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low equals hrv_sdnn_low AND hrv_cvsd_low meets arousal_medium AND hrv_rmssd_low equals hrv_sdnn_low AND hrv_rmssd_low meets arousal_medium AND hrv_sdnn_low meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6713768115942029,0.6768115942028985,0.39834869431643627,0.875,0.875,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.2857142857142857,,,,0.6521739130434783,0.6739130434782609,0.4838709677419355,0.625,0.625,0.35714285714285715,,,
(hrv_pnn50_high) => hrv_pnn50_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.668246336996337,0.6736034798534798,0.6207565284178187,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.5384615384615384,0.5384615384615384,0.5,,,,0.6428571428571429,0.6642857142857143,0.5806451612903226,0.625,0.625,0.5357142857142857,,,
hrv_cvsd_low equals hrv_pnn50_low => hrv_cvsd_low equals hrv_pnn50_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_pnn50_low equals hrv_rmssd_low AND hrv_pnn50_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.667530959752322,1.0107974616972295,0.41132872503840245,0.65,0.8125,0.43333333333333335,0.5,1.0769230769230769,0.2857142857142857,,,,0.5789473684210527,1.0557275541795668,0.3548387096774194,0.9411764705882353,1.0980392156862746,0.5714285714285714,,,
(hrv_pnn20_high) => hrv_pnn20_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6672619047619048,0.6738095238095239,0.6184907834101383,0.8,0.8,0.8,0.5,0.5,0.4642857142857143,,,,0.7857142857142858,0.8119047619047619,0.7096774193548387,0.5833333333333334,0.5833333333333334,0.5,,,
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets valence_medium AND hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6655719759168035,1.0231234357021695,0.5974846390168971,0.7931034482758621,0.9913793103448275,0.7666666666666667,0.5555555555555556,0.9722222222222223,0.5357142857142857,,,,0.5517241379310345,1.0060851926977687,0.5161290322580645,0.7619047619047619,1.1228070175438596,0.5714285714285714,,,
hrv_rmssd_high equals hrv_sdnn_high => hrv_rmssd_high equals hrv_sdnn_high AND hrv_rmssd_high meets valence_medium AND hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.656593137254902,0.656593137254902,0.4703149001536099,0.8,0.8,0.5333333333333333,0.52,0.52,0.4642857142857143,,,,0.5416666666666667,0.5416666666666667,0.41935483870967744,0.7647058823529412,0.7647058823529412,0.4642857142857143,,,
hrv_pnn20_high equals hrv_pnn50_high => hrv_pnn20_high equals hrv_pnn50_high AND hrv_pnn20_high equals hrv_rmssd_high AND hrv_pnn20_high meets valence_medium AND hrv_pnn50_high equals hrv_rmssd_high AND hrv_pnn50_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6512254901960786,1.0862223238577728,0.3252880184331797,0.7499999999999999,1.0227272727272727,0.3,0.6000000000000001,1.2000000000000002,0.32142857142857145,,,,0.5882352941176471,1.1397058823529411,0.3225806451612903,0.6666666666666667,0.9824561403508772,0.35714285714285715,,,
hrv_cvnn_high equals hrv_cvsd_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets valence_medium AND hrv_cvsd_high equals hrv_sdnn_high AND hrv_cvsd_high meets valence_medium AND hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6461466165413534,0.9973463069438302,0.38308371735791086,0.736842105263158,0.9210526315789473,0.4666666666666667,0.5263157894736842,0.9210526315789475,0.35714285714285715,,,,0.5714285714285714,1.0420168067226891,0.3870967741935484,0.7500000000000001,1.105263157894737,0.32142857142857145,,,
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6400641025641025,0.9766842634489694,0.5572772657450077,0.5666666666666667,0.7083333333333333,0.5666666666666667,0.5,1.0769230769230769,0.39285714285714285,,,,0.5769230769230769,1.0520361990950227,0.4838709677419355,0.9166666666666667,1.0694444444444444,0.7857142857142857,,,
hrv_rmssd_low equals hrv_sdnn_low => hrv_rmssd_low equals hrv_sdnn_low AND hrv_rmssd_low meets arousal_medium AND hrv_sdnn_low meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6390873015873016,0.6445039682539683,0.4078149001536098,0.761904761904762,0.761904761904762,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.2857142857142857,,,,0.65,0.6716666666666667,0.41935483870967744,0.611111111111111,0.611111111111111,0.39285714285714285,,,
hrv_cvnn_high equals hrv_cvsd_high => hrv_cvnn_high equals hrv_cvsd_high AND hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high meets valence_medium AND hrv_cvsd_high equals hrv_rmssd_high AND hrv_cvsd_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.6210839598997494,1.0264475108225108,0.3666858678955453,0.6842105263157895,0.9330143540669859,0.43333333333333335,0.5263157894736842,1.0526315789473684,0.35714285714285715,,,,0.5238095238095238,1.0148809523809526,0.3548387096774194,0.7500000000000001,1.105263157894737,0.32142857142857145,,,
