rule,present_in_count,present_in,avg_confidence,avg_lift,avg_support,CASE_confidence,CASE_lift,CASE_support,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,CEAP_confidence,CEAP_lift,CEAP_support,EmoWorker_confidence,EmoWorker_lift,EmoWorker_support,K-emoCon (ext)_confidence,K-emoCon (ext)_lift,K-emoCon (ext)_support,EMBOA_confidence,EMBOA_lift,EMBOA_support
hrv_cvsd_low equals hrv_rmssd_low => hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7275641025641026,0.7275641025641026,0.5572772657450077,0.8095238095238095,0.8095238095238095,0.5666666666666667,0.5238095238095238,0.5238095238095238,0.39285714285714285,,,,0.5769230769230769,0.5769230769230769,0.4838709677419355,1.0,1.0,0.7857142857142857,,,
hrv_pnn20_high equals hrv_pnn50_high => hrv_pnn20_high equals hrv_pnn50_high AND hrv_pnn20_high meets valence_medium AND hrv_pnn50_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7262254901960784,0.7262254901960784,0.35981182795698924,0.9166666666666665,0.9166666666666665,0.36666666666666664,0.6000000000000001,0.6000000000000001,0.32142857142857145,,,,0.5882352941176471,0.5882352941176471,0.3225806451612903,0.7999999999999999,0.7999999999999999,0.42857142857142855,,,
hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_rmssd_high equals hrv_sdnn_high => hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_rmssd_high equals hrv_sdnn_high AND hrv_rmssd_high meets arousal_medium AND hrv_sdnn_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.724504662004662,0.7306157731157731,0.426804915514593,0.85,0.85,0.5666666666666667,0.5454545454545454,0.5454545454545454,0.42857142857142855,,,,0.7333333333333334,0.7577777777777778,0.3548387096774194,0.7692307692307693,0.7692307692307693,0.35714285714285715,,,
(hrv_cvnn_low) => hrv_cvnn_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7226966873706004,0.7226966873706004,0.6507296466973886,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5217391304347826,0.5217391304347826,0.42857142857142855,,,,0.5357142857142857,0.5357142857142857,0.4838709677419355,1.0,1.0,0.8571428571428571,,,
hrv_cvsd_low equals hrv_pnn50_low => hrv_cvsd_low equals hrv_pnn50_low AND hrv_cvsd_low meets valence_medium AND hrv_pnn50_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7197368421052632,0.7197368421052632,0.4452572964669739,0.8,0.8,0.5333333333333333,0.5,0.5,0.2857142857142857,,,,0.5789473684210527,0.5789473684210527,0.3548387096774194,1.0,1.0,0.6071428571428571,,,
(hrv_pnn50_high) => hrv_pnn50_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7197344322344322,0.7197344322344322,0.665668202764977,0.9,0.9,0.9,0.5384615384615384,0.5384615384615384,0.5,,,,0.6071428571428571,0.6071428571428571,0.5483870967741935,0.8333333333333334,0.8333333333333334,0.7142857142857143,,,
(hrv_pnn50_low) => hrv_pnn50_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7196663843402974,0.7196663843402974,0.6322772657450078,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.5217391304347826,0.5217391304347826,0.42857142857142855,,,,0.5357142857142857,0.5357142857142857,0.4838709677419355,0.9545454545454546,0.9545454545454546,0.75,,,
hrv_cvnn_high equals hrv_rmssd_high => hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_rmssd_high equals hrv_sdnn_high AND hrv_rmssd_high meets arousal_medium AND hrv_sdnn_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7130463286713287,1.2143125971250972,0.426804915514593,0.85,1.0625,0.5666666666666667,0.5454545454545454,1.1748251748251748,0.42857142857142855,,,,0.6875,1.184027777777778,0.3548387096774194,0.7692307692307693,1.435897435897436,0.35714285714285715,,,
hrv_cvnn_high equals hrv_rmssd_high => hrv_cvnn_high equals hrv_rmssd_high AND hrv_cvnn_high meets arousal_medium AND hrv_rmssd_high meets arousal_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7130463286713287,0.7187754953379953,0.426804915514593,0.85,0.85,0.5666666666666667,0.5454545454545454,0.5454545454545454,0.42857142857142855,,,,0.6875,0.7104166666666667,0.3548387096774194,0.7692307692307693,0.7692307692307693,0.35714285714285715,,,
hrv_cvsd_low equals hrv_pnn50_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_pnn50_low equals hrv_rmssd_low => hrv_cvsd_low equals hrv_pnn50_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_pnn50_low equals hrv_rmssd_low AND hrv_pnn50_low meets valence_medium AND hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7109133126934984,0.7109133126934984,0.41132872503840245,0.7647058823529412,0.7647058823529412,0.43333333333333335,0.5,0.5,0.2857142857142857,,,,0.5789473684210527,0.5789473684210527,0.3548387096774194,1.0,1.0,0.5714285714285714,,,
