,old_F,old_M,young_F,young_M
old_F,1.0,0.1896348645465253,0.15922798552472858,0.20722891566265061
old_M,0.1896348645465253,1.0,0.2489851150202977,0.1799265605875153
young_F,0.15922798552472858,0.2489851150202977,1.0,0.202365308804205
young_M,0.20722891566265061,0.1799265605875153,0.202365308804205,1.0
