rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(eda_high) => eda_high is-finished-by eda_peaks_high,False,,,,True,0.5714,0.5714,0.5634
(eda_high) => eda_high is-finished-by eda_scr_auc_high,True,0.7,0.7143,0.7,False,,,
(eda_high) => eda_high is-finished-by eda_std_medium,False,,,,True,0.6143,0.6143,0.6056
(eda_high) => eda_high meets arousal_medium,False,,,,True,0.6,0.6,0.5915
(eda_high) => eda_high meets eda_high,True,0.78,0.78,0.78,True,0.7857,0.7969,0.7746
(eda_high) => eda_high overlaps eda_peaks_medium,True,0.74,0.7872,0.74,False,,,
(eda_high) => eda_high overlaps eda_scr_amp_low,True,0.68,0.7727,0.68,False,,,
(eda_high) => eda_high overlaps eda_scr_auc_low,True,0.5,0.641,0.5,False,,,
(eda_high) => eda_high overlaps eda_std_medium,True,0.68,0.7727,0.68,False,,,
(eda_high) => eda_high starts arousal_medium,True,0.62,0.6327,0.62,False,,,
(eda_high) => eda_high starts eda_max_high,True,0.76,0.7917,0.76,False,,,
(eda_high) => eda_high starts valence_medium,True,0.58,0.58,0.58,False,,,
(eda_low) => eda_low before eda_max_low,True,0.6596,0.6871,0.62,False,,,
(eda_low) => eda_low before eda_peaks_medium,False,,,,True,0.8028,0.8143,0.8028
(eda_low) => eda_low before eda_scr_amp_low,True,0.5532,0.6286,0.52,False,,,
(eda_low) => eda_low before eda_scr_auc_medium,False,,,,True,0.6056,0.6418,0.6056
(eda_low) => eda_low before eda_std_medium,False,,,,True,0.7746,0.7746,0.7746
(eda_low) => eda_low contains eda_scr_auc_high,True,0.5745,0.5862,0.54,False,,,
(eda_low) => eda_low equals eda_scr_auc_low,False,,,,True,0.5211,0.6066,0.5211
(eda_low) => eda_low is-finished-by eda_max_low,False,,,,True,0.8028,0.8028,0.8028
(eda_low) => eda_low is-finished-by eda_peaks_high,True,0.7021,0.7021,0.66,False,,,
(eda_low) => eda_low is-finished-by eda_scr_amp_high,True,0.5745,0.6111,0.54,False,,,
(eda_low) => eda_low meets arousal_medium,True,0.6383,0.6513,0.6,True,0.6338,0.6338,0.6338
(eda_low) => eda_low meets eda_low,True,0.617,0.6564,0.58,True,0.5634,0.5634,0.5634
(eda_low) => eda_low meets eda_max_medium,True,0.5319,0.5541,0.5,False,,,
(eda_low) => eda_low meets eda_peaks_high,False,,,,True,0.6056,0.6056,0.6056
(eda_low) => eda_low meets eda_peaks_medium,True,0.6596,0.7017,0.62,False,,,
(eda_low) => eda_low meets eda_scr_amp_high,False,,,,True,0.5211,0.5362,0.5211
(eda_low) => eda_low meets eda_scr_auc_high,False,,,,True,0.6901,0.6901,0.6901
(eda_low) => eda_low meets eda_scr_auc_low,True,0.6596,0.8456,0.62,False,,,
(eda_low) => eda_low meets eda_std_high,False,,,,True,0.662,0.6812,0.662
(eda_low) => eda_low meets eda_std_low,True,0.5106,0.5938,0.48,False,,,
(eda_low) => eda_low meets valence_medium,True,0.7447,0.7447,0.7,True,0.7746,0.7746,0.7746
(eda_max_high) => eda_max_high before eda_std_high,False,,,,True,0.6761,0.6957,0.6761
(eda_max_high) => eda_max_high contains eda_peaks_medium,False,,,,True,0.7606,0.7714,0.7606
(eda_max_high) => eda_max_high contains eda_scr_amp_high,True,0.5625,0.5984,0.54,True,0.6056,0.6232,0.6056
(eda_max_high) => eda_max_high contains eda_scr_auc_high,False,,,,True,0.7746,0.7746,0.7746
(eda_max_high) => eda_max_high contains eda_scr_auc_low,False,,,,True,0.5493,0.6393,0.5493
(eda_max_high) => eda_max_high contains eda_scr_auc_medium,False,,,,True,0.5775,0.6119,0.5775
(eda_max_high) => eda_max_high equals eda_std_high,True,0.5625,0.574,0.54,False,,,
(eda_max_high) => eda_max_high equals valence_medium,True,0.5208,0.5208,0.5,True,0.5915,0.5915,0.5915
(eda_max_high) => eda_max_high is-finished-by eda_peaks_high,False,,,,True,0.507,0.507,0.507
(eda_max_high) => eda_max_high is-finished-by eda_peaks_medium,True,0.7083,0.7535,0.68,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_amp_low,True,0.6042,0.6866,0.58,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_auc_high,True,0.75,0.7653,0.72,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_std_medium,True,0.5833,0.6629,0.56,True,0.6338,0.6338,0.6338
(eda_max_high) => eda_max_high meets arousal_medium,True,0.5625,0.574,0.54,True,0.5352,0.5352,0.5352
(eda_max_high) => eda_max_high meets eda_high,True,0.6458,0.6458,0.62,True,0.6197,0.6286,0.6197
(eda_max_high) => eda_max_high meets eda_max_high,True,0.6875,0.7161,0.66,True,0.5915,0.5915,0.5915
(eda_max_high) => eda_max_high meets eda_peaks_high,True,0.6458,0.6458,0.62,False,,,
(eda_max_high) => eda_max_high meets eda_scr_auc_medium,True,0.5417,0.6298,0.52,False,,,
(eda_max_high) => eda_max_high overlaps eda_scr_amp_low,False,,,,True,0.6197,0.6769,0.6197
(eda_max_low) => eda_max_low before arousal_medium,False,,,,True,0.6479,0.6479,0.6479
(eda_max_low) => eda_max_low before eda_low,True,0.625,0.6649,0.6,True,0.6338,0.6338,0.6338
(eda_max_low) => eda_max_low before eda_max_low,True,0.7708,0.803,0.74,True,0.7042,0.7042,0.7042
(eda_max_low) => eda_max_low before eda_scr_amp_low,True,0.5417,0.6155,0.52,False,,,
(eda_max_low) => eda_max_low before eda_scr_auc_high,False,,,,True,0.5915,0.5915,0.5915
(eda_max_low) => eda_max_low before eda_scr_auc_low,True,0.5833,0.7479,0.56,True,0.507,0.5902,0.507
(eda_max_low) => eda_max_low before eda_std_low,True,0.5208,0.6056,0.5,False,,,
(eda_max_low) => eda_max_low before valence_medium,True,0.7292,0.7292,0.7,True,0.831,0.831,0.831
(eda_max_low) => eda_max_low contains eda_peaks_high,True,0.75,0.75,0.72,False,,,
(eda_max_low) => eda_max_low contains eda_scr_auc_high,True,0.5208,0.5315,0.5,False,,,
(eda_max_low) => eda_max_low contains eda_std_medium,True,0.5208,0.5919,0.5,False,,,
(eda_max_low) => eda_max_low equals eda_peaks_high,False,,,,True,0.7465,0.7465,0.7465
(eda_max_low) => eda_max_low equals eda_std_medium,False,,,,True,0.7324,0.7324,0.7324
(eda_max_low) => eda_max_low is-finished-by eda_peaks_medium,True,0.6875,0.7314,0.66,True,0.7887,0.8,0.7887
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_medium,False,,,,True,0.7324,0.7761,0.7324
(eda_max_low) => eda_max_low is-finished-by eda_std_high,False,,,,True,0.5634,0.5797,0.5634
(eda_max_low) => eda_max_low is-finished-by hr_medium,True,0.5417,0.6298,0.52,False,,,
(eda_max_low) => eda_max_low meets arousal_medium,True,0.6042,0.6165,0.58,False,,,
(eda_max_low) => eda_max_low meets eda_scr_auc_medium,True,0.6042,0.7025,0.58,False,,,
(eda_max_medium) => eda_max_medium before arousal_medium,False,,,,True,0.6364,0.6364,0.5915
(eda_max_medium) => eda_max_medium before eda_max_medium,False,,,,True,0.6061,0.652,0.5634
(eda_max_medium) => eda_max_medium before eda_medium,False,,,,True,0.6667,0.7396,0.6197
(eda_max_medium) => eda_max_medium before eda_peaks_high,False,,,,True,0.5758,0.5758,0.5352
(eda_max_medium) => eda_max_medium before eda_scr_amp_high,True,0.5,0.5319,0.48,False,,,
(eda_max_medium) => eda_max_medium before eda_scr_auc_low,False,,,,True,0.5,0.582,0.4648
(eda_max_medium) => eda_max_medium before valence_medium,False,,,,True,0.6818,0.6818,0.6338
(eda_max_medium) => eda_max_medium contains eda_peaks_medium,True,0.6458,0.6871,0.62,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_amp_low,True,0.5625,0.6392,0.54,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_high,True,0.5833,0.5952,0.56,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_medium,True,0.5,0.5814,0.48,False,,,
(eda_max_medium) => eda_max_medium contains hr_high,True,0.5417,0.6298,0.52,False,,,
(eda_max_medium) => eda_max_medium equals eda_peaks_medium,False,,,,True,0.6818,0.6916,0.6338
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_amp_low,False,,,,True,0.5152,0.5627,0.4789
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_auc_medium,False,,,,True,0.6061,0.6422,0.5634
(eda_max_medium) => eda_max_medium is-finished-by eda_std_high,False,,,,True,0.6061,0.6236,0.5634
(eda_max_medium) => eda_max_medium is-finished-by eda_std_medium,False,,,,True,0.6364,0.6364,0.5915
(eda_max_medium) => eda_max_medium meets arousal_medium,True,0.7083,0.7228,0.68,False,,,
(eda_max_medium) => eda_max_medium meets eda_max_medium,True,0.5625,0.5859,0.54,False,,,
(eda_max_medium) => eda_max_medium meets eda_medium,True,0.7292,0.7757,0.7,False,,,
(eda_max_medium) => eda_max_medium meets eda_peaks_high,True,0.7292,0.7292,0.7,False,,,
(eda_max_medium) => eda_max_medium meets eda_scr_auc_high,False,,,,True,0.6667,0.6667,0.6197
(eda_max_medium) => eda_max_medium meets eda_scr_auc_low,True,0.5208,0.6677,0.5,False,,,
(eda_max_medium) => eda_max_medium meets eda_std_high,True,0.5625,0.574,0.54,False,,,
(eda_max_medium) => eda_max_medium meets eda_std_low,True,0.5,0.5814,0.48,False,,,
(eda_max_medium) => eda_max_medium meets hr_medium,True,0.5208,0.6056,0.5,False,,,
(eda_max_medium) => eda_max_medium meets valence_medium,True,0.6667,0.6667,0.64,False,,,
(eda_medium) => eda_medium before eda_scr_auc_high,True,0.5532,0.5645,0.52,False,,,
(eda_medium) => eda_medium contains eda_peaks_high,False,,,,True,0.6875,0.6875,0.6197
(eda_medium) => eda_medium contains eda_scr_auc_medium,False,,,,True,0.6719,0.712,0.6056
(eda_medium) => eda_medium contains eda_std_medium,False,,,,True,0.6406,0.6406,0.5775
(eda_medium) => eda_medium is-finished-by eda_scr_amp_low,False,,,,True,0.5312,0.5803,0.4789
(eda_medium) => eda_medium is-finished-by eda_std_high,False,,,,True,0.6094,0.627,0.5493
(eda_medium) => eda_medium meets arousal_medium,True,0.6383,0.6513,0.6,True,0.7031,0.7031,0.6338
(eda_medium) => eda_medium meets eda_max_medium,False,,,,True,0.6094,0.6555,0.5493
(eda_medium) => eda_medium meets eda_medium,True,0.617,0.6564,0.58,True,0.7656,0.8494,0.6901
(eda_medium) => eda_medium meets eda_peaks_high,True,0.6596,0.6596,0.62,False,,,
(eda_medium) => eda_medium meets eda_peaks_medium,True,0.6809,0.7243,0.64,True,0.6562,0.6656,0.5915
(eda_medium) => eda_medium meets eda_scr_amp_high,False,,,,True,0.5,0.5145,0.4507
(eda_medium) => eda_medium meets eda_scr_auc_high,False,,,,True,0.6719,0.6719,0.6056
(eda_medium) => eda_medium meets eda_scr_auc_low,True,0.5319,0.6819,0.5,True,0.5469,0.6365,0.493
(eda_medium) => eda_medium meets eda_scr_auc_medium,True,0.5319,0.6185,0.5,False,,,
(eda_medium) => eda_medium meets valence_medium,True,0.6596,0.6596,0.62,True,0.7656,0.7656,0.6901
(eda_medium) => eda_medium overlaps eda_peaks_low,False,,,,True,0.5156,0.5306,0.4648
(eda_peaks_high) => eda_peaks_high before eda_peaks_high,False,,,,True,0.5634,0.5634,0.5634
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_high,False,,,,True,0.5211,0.5211,0.5211
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_medium,True,0.66,0.7674,0.66,False,,,
(eda_peaks_high) => eda_peaks_high before eda_std_high,False,,,,True,0.5493,0.5652,0.5493
(eda_peaks_high) => eda_peaks_high before eda_std_low,False,,,,True,0.5352,0.5846,0.5352
(eda_peaks_high) => eda_peaks_high equals eda_scr_auc_medium,False,,,,True,0.6056,0.6418,0.6056
(eda_peaks_high) => eda_peaks_high equals eda_std_low,True,0.54,0.6279,0.54,False,,,
(eda_peaks_high) => eda_peaks_high meets arousal_medium,False,,,,True,0.6056,0.6056,0.6056
(eda_peaks_high) => eda_peaks_high meets eda_peaks_high,True,0.56,0.56,0.56,False,,,
(eda_peaks_high) => eda_peaks_high meets eda_peaks_medium,True,0.7,0.7447,0.7,True,0.7324,0.7429,0.7324
(eda_peaks_high) => eda_peaks_high meets eda_std_medium,True,0.58,0.6591,0.58,True,0.6901,0.6901,0.6901
(eda_peaks_high) => eda_peaks_high meets valence_medium,True,0.6,0.6,0.6,False,,,
(eda_peaks_high) => eda_peaks_high starts valence_medium,False,,,,True,0.6056,0.6056,0.6056
(eda_peaks_low) => eda_peaks_low before eda_scr_auc_low,False,,,,True,0.5362,0.6241,0.5211
(eda_peaks_low) => eda_peaks_low equals eda_scr_auc_high,True,0.75,0.7653,0.72,False,,,
(eda_peaks_low) => eda_peaks_low equals eda_std_high,True,0.7292,0.744,0.7,True,0.5942,0.6114,0.5775
(eda_peaks_low) => eda_peaks_low equals valence_medium,False,,,,True,0.6087,0.6087,0.5915
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_amp_high,True,0.5625,0.5984,0.54,True,0.5652,0.5816,0.5493
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_auc_high,False,,,,True,0.7681,0.7681,0.7465
(eda_peaks_low) => eda_peaks_low meets eda_peaks_high,True,0.5208,0.5208,0.5,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_peaks_medium,True,0.7292,0.7757,0.7,True,0.6812,0.6909,0.662
(eda_peaks_low) => eda_peaks_low meets eda_scr_amp_low,True,0.625,0.7102,0.6,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_low,True,0.625,0.8013,0.6,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_medium,False,,,,True,0.5072,0.5375,0.493
(eda_peaks_low) => eda_peaks_low meets eda_std_medium,True,0.5833,0.6629,0.56,False,,,
(eda_peaks_low) => eda_peaks_low overlaps eda_scr_amp_low,False,,,,True,0.5072,0.5541,0.493
(eda_peaks_low) => eda_peaks_low overlaps eda_std_medium,False,,,,True,0.6812,0.6812,0.662
(eda_peaks_low) => eda_peaks_low starts arousal_medium,True,0.5208,0.5315,0.5,True,0.5507,0.5507,0.5352
(eda_peaks_low) => eda_peaks_low starts eda_high,True,0.6042,0.6042,0.58,False,,,
(eda_peaks_low) => eda_peaks_low starts valence_medium,True,0.5208,0.5208,0.5,False,,,
(eda_peaks_medium) => eda_peaks_medium before arousal_medium,False,,,,True,0.5429,0.5429,0.5352
(eda_peaks_medium) => eda_peaks_medium before eda_peaks_medium,False,,,,True,0.5,0.5071,0.493
(eda_peaks_medium) => eda_peaks_medium before eda_std_high,False,,,,True,0.6,0.6174,0.5915
(eda_peaks_medium) => eda_peaks_medium before eda_std_medium,False,,,,True,0.6143,0.6143,0.6056
(eda_peaks_medium) => eda_peaks_medium before valence_high,True,0.5106,0.5803,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_amp_low,False,,,,True,0.5143,0.5618,0.507
