rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(arousal_low) => arousal_low meets eda_peaks_low,True,0.5,0.4444,False,False,,,False,,,,
(arousal_low) => arousal_low meets eda_peaks_medium,False,,,False,False,,,True,,,0.72,0.6429
(arousal_low) => arousal_low meets eda_scr_auc_medium,False,,,True,False,,,False,0.7368,0.6512,,
(arousal_low) => arousal_low meets eda_std_low,False,,,False,False,,,True,,,0.64,0.5714
(arousal_low) => arousal_low meets eda_std_medium,True,0.625,0.5556,True,False,,,True,0.6316,0.5581,0.64,0.5714
(arousal_low) => arousal_low meets hr_low,True,0.5625,0.5,False,False,,,False,,,,
(arousal_low) => arousal_low overlaps eda_scr_amp_low,False,,,False,False,,,True,,,0.68,0.6071
(arousal_low) => arousal_low starts eda_scr_amp_medium,False,,,True,False,,,False,0.5,0.4419,,
(arousal_low) => arousal_low starts valence_medium,False,,,True,False,,,False,0.7632,0.6744,,
(arousal_medium) => arousal_medium before eda_std_high,False,,,False,True,0.5806,0.5625,False,,,,
(arousal_medium) => arousal_medium before valence_high,True,0.6111,0.6111,False,False,,,False,,,,
(arousal_medium) => arousal_medium contains eda_peaks_medium,False,,,True,False,,,True,0.7907,0.7907,0.6429,0.6429
(arousal_medium) => arousal_medium contains eda_scr_amp_high,True,0.5,0.5,True,False,,,False,0.6279,0.6279,,
(arousal_medium) => arousal_medium contains eda_scr_amp_low,False,,,False,True,0.6452,0.625,False,,,,
(arousal_medium) => arousal_medium contains eda_scr_auc_high,False,,,True,True,0.7742,0.75,False,0.7907,0.7907,,
(arousal_medium) => arousal_medium contains eda_scr_auc_low,False,,,True,False,,,False,0.5349,0.5349,,
(arousal_medium) => arousal_medium contains eda_scr_auc_medium,False,,,True,True,0.6774,0.6562,True,0.7907,0.7907,0.5357,0.5357
(arousal_medium) => arousal_medium contains eda_std_medium,False,,,False,False,,,True,,,0.6786,0.6786
(arousal_medium) => arousal_medium contains hr_medium,True,0.5,0.5,False,False,,,False,,,,
(arousal_medium) => arousal_medium equals eda_high,False,,,False,True,0.7419,0.7188,False,,,,
(arousal_medium) => arousal_medium equals eda_max_high,False,,,True,True,0.5161,0.5,False,0.5116,0.5116,,
(arousal_medium) => arousal_medium equals eda_max_low,False,,,False,True,0.5161,0.5,True,,,0.5357,0.5357
(arousal_medium) => arousal_medium equals hr_high,False,,,False,True,0.5484,0.5312,False,,,,
(arousal_medium) => arousal_medium equals valence_medium,True,0.6111,0.6111,True,True,0.7097,0.6875,True,0.8372,0.8372,0.6786,0.6786
(arousal_medium) => arousal_medium is-finished-by eda_medium,True,0.5556,0.5556,False,False,,,False,,,,
(arousal_medium) => arousal_medium is-finished-by eda_peaks_high,False,,,True,True,0.871,0.8438,False,0.5814,0.5814,,
(arousal_medium) => arousal_medium is-finished-by eda_peaks_medium,True,0.9444,0.9444,False,False,,,False,,,,
(arousal_medium) => arousal_medium is-finished-by eda_scr_amp_low,True,0.5556,0.5556,False,False,,,True,,,0.6071,0.6071
(arousal_medium) => arousal_medium is-finished-by eda_scr_amp_medium,False,,,True,False,,,False,0.6512,0.6512,,
(arousal_medium) => arousal_medium is-finished-by eda_scr_auc_high,True,0.5556,0.5556,False,False,,,False,,,,
(arousal_medium) => arousal_medium is-finished-by eda_scr_auc_low,True,0.7222,0.7222,False,False,,,False,,,,
(arousal_medium) => arousal_medium is-finished-by eda_std_high,False,,,False,False,,,True,,,0.5357,0.5357
(arousal_medium) => arousal_medium is-finished-by eda_std_medium,True,0.6667,0.6667,True,False,,,False,0.7907,0.7907,,
(arousal_medium) => arousal_medium is-finished-by hr_low,True,0.5,0.5,False,False,,,False,,,,
(arousal_medium) => arousal_medium is-finished-by hr_medium,False,,,False,True,0.7097,0.6875,False,,,,
(arousal_medium) => arousal_medium meets arousal_medium,True,0.7778,0.7778,True,True,0.8065,0.7812,True,0.7907,0.7907,0.6786,0.6786
(arousal_medium) => arousal_medium meets eda_max_low,False,,,True,False,,,False,0.5116,0.5116,,
(arousal_medium) => arousal_medium meets eda_max_medium,False,,,False,True,0.5161,0.5,False,,,,
(arousal_medium) => arousal_medium meets eda_peaks_high,True,0.7222,0.7222,False,False,,,True,,,0.7857,0.7857
(arousal_medium) => arousal_medium meets eda_peaks_medium,False,,,False,True,0.6452,0.625,False,,,,
(arousal_medium) => arousal_medium meets eda_scr_auc_high,False,,,False,False,,,True,,,0.5714,0.5714
(arousal_medium) => arousal_medium meets eda_scr_auc_medium,True,0.8889,0.8889,False,False,,,False,,,,
