rule,CASE_confidence,CASE_lift,CASE_support,CASE_count,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,K-emoCon_count,CEAP_confidence,CEAP_lift,CEAP_support,CEAP_count,EmoWorker_v2_confidence,EmoWorker_v2_lift,EmoWorker_v2_support,EmoWorker_v2_count,avg_confidence,avg_lift,min_confidence,min_lift,avg_support,min_support
temp_high meets eda_low => temp_high meets eda_low AND temp_high meets eda_max_low AND eda_low equals eda_max_low,1.0,1.0,0.4,6,1.0,1.0,0.3333,4,1.0,1.1429,0.25,4,1.0,1.0,0.4286,3,1.0,1.0357,1.0,1.0,0.353,0.25
hrv_cvnn_high meets eda_low => hrv_cvnn_high meets eda_low AND hrv_cvnn_high meets eda_max_low AND eda_low equals eda_max_low,1.0,1.0,0.4,6,0.75,0.75,0.25,3,0.8,0.9143,0.25,4,1.0,1.0,0.2857,2,0.8875,0.9161,0.75,0.75,0.2964,0.25
hrv_pnn20_high meets eda_low => hrv_pnn20_high meets eda_low AND hrv_pnn20_high meets eda_max_low AND eda_low equals eda_max_low,0.8,0.8,0.2667,4,0.75,0.75,0.25,3,1.0,1.1429,0.25,4,1.0,1.0,0.2857,2,0.8875,0.9232,0.75,0.75,0.2631,0.25
hrv_sdnn_high meets eda_low => hrv_sdnn_high meets eda_low AND hrv_sdnn_high meets eda_max_low AND eda_low equals eda_max_low,1.0,1.0,0.4,6,0.75,0.75,0.25,3,0.8,0.9143,0.25,4,1.0,1.0,0.2857,2,0.8875,0.9161,0.75,0.75,0.2964,0.25
